Duration,Elements,element_rate,pk_freq(max),min_req(max),max_freq(max),bandw(max),entropy(max),peak_freq(mean),min_freq(mean),max_freq(mean),bandw(mean),entropy(mean)
0.12288,110,0.00112,55000,11000,90000,79000,0.444,57000,2000,90000,87000,0.493
0.09766,54,0.00181,55000,20000,74000,54000,0.308,55000,17000,77000,60000,0.382
0.1207,96,0.00126,54000,4000,79000,74000,0.403,52000,1000,83000,82000,0.534
0.17096,158,0.00108,29000,13000,70000,57000,0.314,26000,2000,76000,73000,0.434
0.19498,61,0.00324,38000,24000,68000,43000,0.318,38000,2000,76000,73000,0.468
0.08712,40,0.00222,48000,5000,65000,60000,0.324,55000,4000,70000,65000,0.414
0.11059,78,0.00139,49000,11000,68000,57000,0.338,49000,2000,76000,73000,0.455
0.09331,92,0.00099,55000,11000,67000,55000,0.338,55000,4000,70000,65000,0.406
0.10235,53,0.00195,54000,4000,71000,67000,0.387,32000,2000,74000,71000,0.47
0.12083,112,0.00107,48000,20000,73000,52000,0.334,49000,4000,76000,71000,0.439
0.1012,30,0.00347,57000,5000,76000,70000,0.337,51000,4000,76000,71000,0.405
0.10956,55,0.00199,54000,13000,65000,52000,0.314,54000,4000,74000,70000,0.411
0.09838,92,0.00104,41000,23000,71000,48000,0.335,33000,2000,76000,73000,0.436
0.20667,272,0.00074,58000,16000,89000,73000,0.351,55000,4000,89000,84000,0.464
0.18244,106,0.00166,57000,10000,65000,55000,0.322,55000,2000,76000,73000,0.46
0.38574,241,0.0016,24000,4000,58000,54000,0.309,21000,1000,79000,77000,0.506
0.32477,218,0.00149,19000,13000,70000,57000,0.267,41000,2000,80000,77000,0.454
0.38003,304,0.00125,41000,11000,77000,65000,0.373,41000,2000,80000,77000,0.486
0.33361,225,0.00147,21000,17000,52000,35000,0.252,20000,4000,77000,73000,0.459
0.18218,47,0.00391,20000,5000,73000,67000,0.367,43000,2000,82000,79000,0.492
0.45051,164,0.00276,42000,8000,74000,65000,0.315,38000,2000,83000,80000,0.495
0.24064,141,0.00166,36000,5000,71000,65000,0.376,20000,2000,83000,80000,0.458
0.02423,9,0.00289,17000,8000,67000,58000,0.323,20000,2000,79000,76000,0.462
0.23965,63,0.00386,41000,11000,73000,61000,0.355,39000,2000,90000,87000,0.504
0.38301,199,0.00193,36000,11000,62000,51000,0.341,36000,2000,86000,83000,0.47
0.30186,118,0.00256,38000,7000,71000,64000,0.356,39000,4000,77000,73000,0.431
0.29448,148,0.00199,21000,7000,68000,61000,0.297,41000,4000,77000,73000,0.452
0.20552,131,0.00156,60000,20000,73000,52000,0.336,58000,4000,79000,74000,0.439
0.87761,546,0.0016,60000,30000,77000,46000,0.344,42000,2000,77000,74000,0.459
0.47914,315,0.00152,43000,21000,77000,55000,0.35,43000,4000,79000,74000,0.423
0.42978,143,0.00301,41000,16000,71000,55000,0.325,39000,2000,80000,77000,0.472
0.4334,127,0.00342,36000,13000,71000,58000,0.299,36000,2000,80000,77000,0.455
0.1128,80,0.0014,55000,5200,69100,63800,0.51,55600,3500,73200,69700,0.599
0.1697,127,0.0013,62600,4600,73200,68500,0.572,53300,2900,84300,81400,0.675
0.06634,47,0.00144,57000,20000,70000,49000,0.293,54000,2000,74000,71000,0.439
0.00418,4,0.00138,7000,1000,292000,291000,0.429,8000,1000,367000,366000,0.628
0.28987,155,0.00185,46000,20000,68000,48000,0.35,54000,1000,96000,95000,0.561
0.21913,155,0.00142,30000,16000,67000,51000,0.327,54000,4000,86000,82000,0.462
0.16388,165,0.00098,55000,19000,76000,57000,0.326,55000,5000,80000,74000,0.449
0.18615,172,0.00108,54000,24000,76000,51000,0.369,54000,4000,83000,79000,0.461
0.16622,150,0.0011,58000,19000,65000,46000,0.349,57000,4000,79000,74000,0.442
0.14003,105,0.00132,58000,19000,77000,58000,0.364,35000,2000,87000,84000,0.497
0.26406,331,0.0008,61000,26000,84000,58000,0.349,57000,2000,87000,84000,0.491
