ID_Call,ID_Couple,Intruder,Owner,Sex,duration,element rate,peak freq(max),min freq(max),max freq(max),bandw(max),entropy(max),peak freq(mean),min freq(mean),max freq(mean),bandw(mean),entropy(mean),PC1,PC2,PC3,PC4,PC5
110,7,224,190,Male,0.05815,0.00099,29000,2000,73000,70000,0.338,27000,2000,89000,86000,0.412,0.042401106,-1.328815555,-1.157264292,0.346149091,-0.459563528
111,7,224,190,Male,0.07901,0.00102,29000,2000,86000,83000,0.395,27000,2000,92000,89000,0.445,1.111087305,-1.783031411,-0.741392148,0.356224774,-0.774331391
112,7,224,190,Male,0.06784,0.00105,29000,4000,77000,73000,0.336,29000,2000,79000,76000,0.413,-0.306892828,-1.272951885,-0.819288766,0.030622503,-0.745804417
113,7,224,190,Male,0.0759,0.00153,32000,2000,76000,73000,0.352,21000,2000,80000,77000,0.432,-0.245176875,-1.536705294,-0.622641511,0.402292341,-0.573309768
114,7,224,190,Male,0.06877,0.00116,64000,2000,84000,82000,0.384,65000,2000,89000,86000,0.436,1.961619364,-0.255245889,-0.311992229,-1.275020571,-1.643739532
115,7,224,190,Male,0.06033,0.00116,20000,4000,77000,73000,0.294,21000,2000,80000,77000,0.403,-0.659595806,-1.48853686,-1.297545066,0.463953701,-0.549206
116,7,224,190,Male,0.05661,0.00106,27000,11000,92000,80000,0.392,29000,2000,93000,90000,0.444,1.332559406,-1.278887776,-0.788633416,0.656585488,-0.805733593
117,7,224,190,Male,0.06784,0.00105,29000,4000,77000,73000,0.336,29000,2000,79000,76000,0.413,-0.306892828,-1.272951885,-0.819288766,0.030622503,-0.745804417
118,7,224,190,Male,0.0759,0.00153,32000,2000,76000,73000,0.352,21000,2000,80000,77000,0.432,-0.245176875,-1.536705294,-0.622641511,0.402292341,-0.573309768
119,7,224,190,Male,0.06877,0.00116,64000,2000,84000,82000,0.384,65000,2000,89000,86000,0.436,1.961619364,-0.255245889,-0.311992229,-1.275020571,-1.643739532
120,7,224,190,Male,0.06033,0.00116,20000,4000,77000,73000,0.294,21000,2000,80000,77000,0.403,-0.659595806,-1.48853686,-1.297545066,0.463953701,-0.549206
121,7,224,190,Male,0.13085,0.00148,27000,14000,76000,61000,0.326,27000,2000,77000,74000,0.406,-0.626682163,-0.597410673,-0.647829617,0.196992081,0.153485645
122,8,190,224,Male,0.04945,0.00133,57000,7000,77000,70000,0.381,41000,2000,83000,80000,0.434,0.732920802,-0.403852261,-0.302513915,-0.255994524,-1.080230694
123,8,190,224,Male,0.00729,0.00072,27000,8000,68000,60000,0.333,27000,4000,77000,73000,0.397,-1.175434582,-0.732959719,-0.813473322,0.329871446,-0.799363871
124,8,190,224,Male,0.03293,0.00102,45000,29000,76000,46000,0.333,48000,4000,86000,82000,0.427,0.258082576,1.300529629,-0.484527971,0.229361405,-0.258046782
125,8,190,224,Male,0.02922,0.00161,23000,14000,71000,57000,0.301,29000,2000,84000,82000,0.416,-0.612286612,-0.511315385,-1.057354827,0.829737909,-0.13811656
126,8,190,224,Male,0.01992,0.00124,65000,4000,82000,77000,0.39,67000,2000,90000,87000,0.45,1.92775254,-0.036862235,-0.199964847,-1.020020467,-1.797424855
127,8,190,224,Male,0.09126,0.00098,30000,13000,84000,71000,0.356,32000,5000,90000,84000,0.447,0.659753366,-0.596987053,-0.590134188,0.329558292,-0.433370397
128,8,190,224,Male,0.03438,0.00087,35000,10000,84000,74000,0.396,20000,2000,84000,82000,0.417,0.407357251,-1.213058677,-0.738600486,0.671900425,-0.924981056
129,8,190,224,Male,0.00853,0.00849,19000,4000,67000,62000,0.273,19000,1000,80000,79000,0.372,-1.336874587,-1.223198669,-0.685466323,3.032009395,-0.135626202
